date,AboveMcClure.Gage Inflow,EmbudoCreekAtDixon.Gage Inflow,Galisteo.Gage Inflow,LittleNavajoRiver.Inflow,NavajoRiver.Inflow,NorthClearCreekBelowContinentalReservoir.Gage Inflow,NorthFloodwayChannel.Gage Inflow,NrJemez.Gage Inflow,PlatoroInflow.Inflow,RedRiverBlwFishHatchery.Gage Inflow,RioBlanco.Inflow,RioLosPinosAtOrtiz.Gage Inflow,RioPuebloDeTaosAtLosCordovas.Gage Inflow,RioPuerco.Gage Inflow,RioSanAntonioAtOrtiz.Gage Inflow,SouthFork.Gage Inflow,ThirtyMileBridge.Gage Inflow,TijerasArroyo.Gage Inflow,"RIO CHAMA NEAR LA PUENTE, NM","RIO OJO CALIENTE AT LA MADERA, NM"
1980-01-30,3.1387348,4.291188,7.365372,-0.26854545,-1.4517707,0.61789745,8.440714,1.3069038,-2.2765,2.868786,-0.59644926,-2.9035006,4.509461,7.8097596,-1.8378305,0.7053884,1.6033486,8.59762,-2.2143786,1.3720405
1980-01-31,6.3709035,6.3578734,8.791752,-1.8865455,-3.8740897,-2.6726668,10.267678,6.8796735,-8.655251,3.6489944,-3.8286593,-3.4074523,5.3098383,9.052203,-2.065869,-4.8370404,-2.053809,10.2195215,-2.093584,2.0560575
1980-02-01,6.6648803,6.7708817,9.52269,0.44309095,-0.7814963,1.8781027,10.178035,4.980481,-3.4212856,3.0005896,-0.5122102,-0.77829486,5.456671,8.970199,-0.276107,-0.5771516,2.1918643,10.242036,0.026725322,2.663045
1980-02-02,8.347711,8.921672,11.581613,1.7609091,0.1751371,5.731847,12.806429,7.7142835,-1.2355356,7.122601,1.3986595,-1.0036911,8.772183,10.556971,0.054665677,2.5453267,5.8588953,13.034492,-0.13512138,3.7802074
1980-02-03,10.177952,11.25443,13.257725,4.2074547,3.0581799,8.191589,13.894107,7.600889,2.1187503,8.740624,4.0480437,1.7730391,10.621536,13.105946,2.6627784,4.567978,8.247606,14.221902,2.624593,5.9789214
1980-02-04,9.233434,9.715235,13.674733,3.9285452,2.8853366,4.122462,15.095358,9.050553,2.0951428,7.1019654,3.5437317,1.4848446,9.267858,13.210194,2.5132244,3.9884708,4.14206,15.408249,2.3545454,6.6053724
1980-02-05,9.845964,10.264189,12.79233,3.444,2.1254363,3.796872,13.394285,8.512938,0.80999994,7.7313643,3.001051,1.323641,9.403882,12.276505,2.946211,3.0820963,4.475708,13.673727,2.4064968,6.5395217
1980-02-06,12.099879,11.156962,12.873132,3.380909,2.7933416,1.309641,14.261607,9.194264,1.1513572,7.9844275,2.5763042,3.1657774,10.361497,14.196167,3.8495688,1.8493464,1.954131,14.485313,3.6225464,6.951658
1980-02-07,5.9424706,6.025427,10.450674,0.802909,0.58501244,-9.22118,11.860536,5.5998945,-4.220143,4.2638497,-1.835616,5.1167903,4.811577,10.037776,5.9596143,-6.5101604,-9.664372,12.393024,5.2072916,6.6726727
1980-02-08,-3.0547593,-2.8204265,2.0544264,-1.1296364,-0.9973317,-4.596359,2.589107,-3.0773942,-5.530571,-2.9016764,-3.2276087,2.620351,-2.7607818,2.0623353,2.7299109,-7.6538105,-5.2468004,3.901452,2.8807092,2.573666
1980-02-09,0.7678313,2.2426033,1.9062947,-6.000909,-7.15197,-7.696974,2.4244645,0.34910575,-11.820822,-0.637052,-7.859022,-1.7992578,1.8484907,1.2400565,0.16035663,-8.363908,-8.037468,2.436991,-1.6789862,1.7859935
1980-02-10,4.991205,5.762183,6.4368405,-1.4405453,-2.9654615,2.839026,7.218393,3.7719617,-4.1720715,2.4837344,-1.6889492,-3.4516852,5.4382477,5.436264,-1.9229271,-0.7553021,3.0109205,7.1575,-2.4462733,2.1318543
1980-02-11,2.3051207,2.8256686,6.6861663,-1.9654545,-3.4982545,0.15548718,8.801072,4.0619516,-6.6329994,2.1426244,-3.1101449,-2.5438616,2.9327762,7.3385806,-1.0011293,-3.1416402,0.49667433,8.888503,-1.5465779,2.4028533
