date,obs,med
2016-08-14,0.137151312,17.360918
2016-08-15,0.0,12.333293
2016-08-16,0.0,4.581176
2016-08-17,9.189154052,1.2257377
2016-08-18,18.3783081,8.247636
2016-08-19,4.388846592,30.542862
2016-08-20,2.057273525,25.994354
2016-08-21,0.137151312,20.808958
2016-08-22,0.0,25.945776
2016-08-23,30.85910288,29.20445
2016-08-24,3.840239805,84.49861
2016-08-25,18.24115448,41.18631
2016-08-26,198.8697561,58.637753
2016-08-27,85.85687357,77.07412
2016-08-28,54.17486436,43.391975
2016-08-29,24.13867552,41.07622
2016-08-30,107.5268224,31.270348
2016-08-31,47.454437,34.62013
2016-09-01,10.97212804,16.63357
2016-09-02,2.194427148,7.186124
2016-09-03,0.274303394,12.757773
2016-09-04,0.0,13.456292
2016-09-05,0.0,7.789913
2016-09-06,0.0,3.6602879
2016-09-07,4.80030746,6.8405757
2016-09-08,15.08666738,21.61944
2016-09-09,6.446120117,17.286139
2016-09-10,1.645820361,8.346827
2016-09-11,0.411454705,5.1677475
2016-09-12,0.274303394,9.618171
2016-09-13,0.0,15.168057
2016-09-14,0.0,12.97849
2016-09-15,24.00152189,8.617019
2016-09-16,38.53959019,16.82124
2016-09-17,7.817640937,17.725384
2016-09-18,3.977393428,13.003479
2016-09-19,4.663153838,12.840429
2016-09-20,3.977393428,11.553697
2016-09-21,2.194427148,8.26556
2016-09-22,11.3835812,18.73971
2016-09-23,3.428786641,35.73104
2016-09-24,1.645820361,40.02233
2016-09-25,153.6097386,28.36072
2016-09-26,62.40395846,40.41716
2016-09-27,22.21855561,23.725487
2016-09-28,13.44085473,18.787996
2016-09-29,6.308974199,39.103153
2016-09-30,5.211760625,63.20858
2016-10-01,7.26903415,104.70632
2016-10-02,0.822906328,101.708206
2016-10-03,0.137151312,60.122692
2016-10-04,0.0,36.53923
2016-10-05,0.0,23.26581
2016-10-06,0.0,13.956328
2016-10-07,0.0,8.152835
2016-10-08,0.0,5.1205854
2016-10-09,0.0,15.346453
2016-10-10,0.0,25.51468
2016-10-11,19.47552168,22.78576
2016-10-12,14.12660743,31.190084
2016-10-13,3.017333476,21.203644
2016-10-14,0.411454705,10.38798
2016-10-15,0.137151312,9.103255
2016-10-16,0.137151312,6.3052864
2016-10-17,0.137151312,6.0196724
2016-10-18,0.137151312,3.2040014
2016-10-19,0.137151312,2.6557384
2016-10-20,0.137151312,0.27431327
2016-10-21,0.137151312,2.4949203
2016-10-22,0.137151312,2.305335
2016-10-23,0.137151312,4.329337
2016-10-24,0.137151312,4.3769507
2016-10-25,0.137151312,8.277171
2016-10-26,0.137151312,5.858186
2016-10-27,0.137151312,3.9365096
2016-10-28,0.137151312,4.0427246
2016-10-29,0.137151312,2.7175705
2016-10-30,0.137151312,2.2392097
2016-10-31,0.137151312,2.9971907
2016-11-01,0.137151312,2.2231221
2016-11-02,0.137151312,0.6921718
2016-11-03,0.137151312,2.2980397
2016-11-04,26.60740221,21.299498
2016-11-05,73.78753966,104.44361
2016-11-06,403.2255724,320.61377
2016-11-07,245.5012791,596.65643
2016-11-08,233.1576457,525.7349
2016-11-09,55.27207794,280.48553
2016-11-10,31.54485558,114.558044
2016-11-11,16.32103458,87.188156
2016-11-12,8.640547265,52.475468
2016-11-13,3.017333476,35.847538
2016-11-14,0.960059951,19.2694
2016-11-15,0.411454705,15.877802
2016-11-16,0.274303394,10.452604
2016-11-17,0.137151312,8.980609
2016-11-18,0.137151312,2.9239385
2016-11-19,0.137151312,3.2538946
2016-11-20,0.137151312,2.4570394
2016-11-21,0.137151312,0.9990761
2016-11-22,0.137151312,13.83178
2016-11-23,0.137151312,13.488896
2016-11-24,0.137151312,9.970834
2016-11-25,0.137151312,6.259486
2016-11-26,0.137151312,5.3292265
2016-11-27,2.605880312,1.8491391
2016-11-28,4.526000215,5.496215
2016-11-29,1.508666738,7.578951
2016-11-30,0.548606017,3.6659994
2016-12-01,0.274303394,1.2683064
2016-12-02,0.137151312,3.0914674
2016-12-03,0.137151312,1.2234528
2016-12-04,0.137151312,1.271867
2016-12-05,0.137151312,1.3874516
2016-12-06,0.137151312,2.6648707
2016-12-07,0.137151312,0.98276687
2016-12-08,0.137151312,1.4415458
2016-12-09,0.137151312,2.794754
2016-12-10,0.0,2.5617404
2016-12-11,0.0,2.6521726
2016-12-12,0.0,1.8760858
2016-12-13,0.0,2.6915147
2016-12-14,0.0,3.4241533
2016-12-15,0.0,2.8526182
2016-12-16,0.0,0.41218358
2016-12-17,0.0,7.94825
2016-12-18,0.0,11.923364
2016-12-19,0.0,10.1662445
2016-12-20,0.0,4.7792187
2016-12-21,0.0,3.5135999
2016-12-22,0.0,0.40192637
2016-12-23,0.0,26.065664
2016-12-24,0.0,143.69756
2016-12-25,0.0,123.479965
2016-12-26,0.0,55.30097
2016-12-27,0.274303394,39.320614
2016-12-28,0.137151312,26.589907
2016-12-29,0.137151312,15.67048
2016-12-30,0.274303394,8.807971
2017-01-01,0.137151312,7.091421
2017-01-02,0.137151312,8.252904
2017-01-03,0.137151312,8.371593
2017-01-04,0.137151312,6.499467
2017-01-05,0.0,5.4871745
2017-01-06,0.0,5.6827397
2017-01-07,0.0,4.809147
2017-01-08,0.0,5.1253233
2017-01-09,0.0,5.0516753
2017-01-10,0.0,7.3741503
2017-01-11,0.0,7.176618
2017-01-12,0.0,5.407775
2017-01-13,0.0,5.801789
2017-01-14,0.0,0.0
2017-01-15,3.840239805,11.970986
2017-01-16,34.56218906,0.2619123
2017-01-17,34.1507359,147.09612
2017-01-18,21.12134204,199.84253
2017-01-19,34.42504314,124.08904
2017-01-20,35.11079585,175.73499
2017-01-21,32.9163764,148.26985
2017-01-22,30.85910288,100.840065
2017-01-23,26.33309496,111.89879
2017-01-24,19.20121443,81.19138
2017-01-25,13.44085473,58.204792
2017-01-26,4.388846592,38.70461
2017-01-27,2.880179854,19.883785
2017-01-28,3.703093886,14.054151
2017-01-29,0.685758099,13.868564
2017-01-30,0.685758099,11.6518545
2017-01-31,0.548606017,11.333327
2017-02-01,0.822906328,11.300534
2017-02-02,0.411454705,10.725242
2017-02-03,0.274303394,9.657589
2017-02-04,0.274303394,8.362308
2017-02-05,0.548606017,8.409442
2017-02-06,0.548606017,8.019565
2017-02-07,0.274303394,8.604003
2017-02-08,0.274303394,8.567368
2017-02-09,0.137151312,8.560584
2017-02-10,0.137151312,8.416648
2017-02-11,0.137151312,7.9980383
2017-02-12,0.137151312,0.405758
2017-02-13,0.137151312,6.2272825
2017-02-14,0.137151312,11.298856
2017-02-15,0.137151312,24.3751
2017-02-16,0.137151312,13.074988
2017-02-17,0.137151312,8.483333
2017-02-18,0.822906328,6.3938065
2017-02-19,0.960059951,9.14021
2017-02-20,0.685758099,12.732971
2017-02-21,3.291640722,9.110404
2017-02-22,4.526000215,13.392864
2017-02-23,1.097213574,16.104042
2017-02-24,0.137151312,3.8383257
2017-02-25,0.0,3.1339824
2017-02-26,0.0,3.915826
2017-02-27,0.0,2.9006124
2017-02-28,0.0,5.6374245
2017-03-01,0.0,7.9993505
2017-03-02,0.0,7.9570885
2017-03-03,0.0,5.7225676
2017-03-04,0.0,5.186663
2017-03-05,0.0,4.894864
2017-03-06,0.0,3.8856885
2017-03-07,0.0,2.909407
2017-03-08,0.0,4.4127007
2017-03-09,0.0,3.9142532
2017-03-10,0.0,3.8058796
2017-03-11,0.0,4.1642237
2017-03-12,0.0,3.8210058
2017-03-13,0.0,3.9279382
2017-03-14,0.0,4.0071144
2017-03-15,0.0,3.9262419
2017-03-16,0.0,4.359426
2017-03-17,0.0,4.529005
2017-03-18,0.0,4.647147
2017-03-19,0.0,4.7059503
2017-03-20,0.0,4.3257847
2017-03-21,0.0,4.4813647
2017-03-22,0.0,4.510748
2017-03-23,0.0,2.3181438
2017-03-24,0.0,7.991802
2017-03-25,0.0,8.295212
2017-03-26,0.0,8.552451
2017-03-27,0.0,6.0228634
2017-03-28,0.0,3.6366625
2017-03-29,0.0,10.033902
2017-03-30,0.0,12.565635
2017-03-31,0.0,8.998019
2017-04-01,0.0,3.0423794
2017-04-02,0.0,9.035124
2017-04-03,0.0,12.151528
2017-04-04,0.0,9.971197
2017-04-05,0.548606017,9.16935
2017-04-06,2.468726689,8.829402
2017-04-07,2.880179854,13.040488
2017-04-08,2.605880312,14.078663
2017-04-09,1.645820361,12.927922
2017-04-10,6.308974199,7.795024
2017-04-11,5.211760625,19.034803
2017-04-12,4.937453379,18.186865
2017-04-13,4.251700673,18.314743
2017-04-14,3.291640722,18.494621
2017-04-15,4.937453379,15.547219
2017-04-16,3.840239805,17.160122
2017-04-17,1.234367197,17.979244
2017-04-18,0.548606017,12.172854
2017-04-19,0.274303394,8.351318
2017-04-20,0.274303394,6.9192467
2017-04-21,11.52072712,8.21996
2017-04-22,15.63527417,21.025015
2017-04-23,20.29842801,22.810186
2017-04-24,32.09346237,24.549759
2017-04-25,41.83122321,18.765951
2017-04-26,46.22007751,37.356895
2017-04-27,42.65413724,45.74371
2017-04-28,42.51698362,26.413641
2017-04-29,48.00304379,28.063019
2017-04-30,44.98571031,49.49546
2017-05-01,33.32782957,40.025303
2017-05-02,19.88697484,32.569004
2017-05-03,14.40091468,26.57276
2017-05-04,12.75509432,23.659708
2017-05-05,8.777700888,22.959547
2017-05-06,2.743033935,19.728401
2017-05-07,0.960059951,12.28559
2017-05-08,0.274303394,10.042436
2017-05-09,0.137151312,6.755929
2017-05-10,6.58327374,5.787791
2017-05-11,21.80709475,31.581673
2017-05-12,28.11606894,51.197933
2017-05-13,40.59686372,43.67117
2017-05-14,47.72874425,29.87118
2017-05-15,41.1454628,24.27627
2017-05-16,24.96158184,18.239033
2017-05-17,28.25322257,28.203482
2017-05-18,33.87643636,35.99735
2017-05-19,36.89376983,37.003498
2017-05-20,34.97364993,31.227568
2017-05-21,29.35043614,26.356699
2017-05-22,17.55540178,24.671957
2017-05-23,11.79503436,24.41069
2017-05-24,9.052000429,22.74273
2017-05-25,5.074607002,21.945036
2017-05-26,1.234367197,12.599015
2017-05-27,0.274303394,8.797748
2017-05-28,0.137151312,8.702123
2017-05-29,0.0,9.669375
2017-05-30,0.0,10.0991955
2017-05-31,0.411454705,8.282701
2017-06-01,3.154487099,11.02401
2017-06-02,3.977393428,24.53371
2017-06-03,3.703093886,25.219288
2017-06-04,2.331573067,21.025436
2017-06-05,0.822906328,10.14368
2017-06-06,0.137151312,4.55658
2017-06-07,0.548606017,3.4593801
2017-06-08,15.36097463,3.646577
2017-06-09,0.274303394,10.293322
2017-06-10,0.0,3.2137341
2017-06-11,0.0,1.255414
2017-06-12,0.0,3.717962
2017-06-13,0.0,3.786511
2017-06-14,0.0,4.4906354
2017-06-15,0.0,4.9431505
2017-06-16,0.0,2.590916
2017-06-17,0.0,0.56609106
2017-06-18,0.0,0.085008845
2017-06-19,0.0,0.0
2017-06-20,0.0,0.0
2017-06-21,0.0,0.0
2017-06-22,0.0,0.06745553
2017-06-23,0.0,0.36362842
2017-06-24,0.0,0.0
2017-06-25,0.0,0.19604187
2017-06-26,0.0,10.04602
2017-06-27,0.0,9.717706
2017-06-28,0.0,3.1839318
2017-06-29,0.0,0.76131725
2017-06-30,0.0,0.0
2017-07-01,0.0,0.0
2017-07-02,0.0,0.0
2017-07-03,0.0,1.0255687
2017-07-04,0.0,0.6575662
2017-07-05,0.0,0.3262796
2017-07-06,0.0,0.0
2017-07-07,0.0,0.0
2017-07-08,0.0,0.0
2017-07-09,0.0,1.4603033
