date,obs,pred
2016-08-27,85.85687356971785,47.069626
2016-08-28,54.17486436238998,35.564583
2016-08-29,24.13867551615315,33.718758
2016-08-30,107.52682239643148,25.604542
2016-08-31,47.45443699956376,18.785385
2016-09-01,10.972128036212908,11.84635
2016-09-02,2.1944271481213917,7.1444283
2016-09-03,0.27430339351517574,14.485651
2016-09-04,0.0,16.212564
2016-09-05,0.0,8.8506775
2016-09-06,0.0,4.289627
2016-09-07,4.800307460417031,12.845125
2016-09-08,15.08666738234944,24.211823
2016-09-09,6.446120117114027,17.221043
2016-09-10,1.6458203610910402,8.160263
2016-09-11,0.41145470505306037,5.8122635
2016-09-12,0.27430339351517574,16.302614
2016-09-13,0.0,26.927017
2016-09-14,0.0,25.864384
2016-09-15,24.001521893297053,16.080973
2016-09-16,38.5395901930102,14.211319
2016-09-17,7.817640936886917,13.497564
2016-09-18,3.9773934276744853,12.444807
2016-09-19,4.663153837560934,11.979647
2016-09-20,3.9773934276744853,11.360146
2016-09-21,2.1944271481213917,8.897177
2016-09-22,11.383581200387155,20.867765
2016-09-23,3.428786640644134,33.993942
2016-09-24,1.6458203610910402,41.23745
2016-09-25,153.60973857622233,36.98022
2016-09-26,62.40395846345115,26.272842
2016-09-27,22.21855561374396,21.79792
2016-09-28,13.440854725652446,18.083776
2016-09-29,6.308974198651974,39.07635
2016-09-30,5.211760624591278,86.68667
2016-10-01,7.269034149856573,184.27202
2016-10-02,0.8229063283484948,168.0511
2016-10-03,0.13715131153788462,113.5751
2016-10-04,0.0,66.70613
2016-10-05,0.0,42.343365
2016-10-06,0.0,25.432251
2016-10-07,0.0,17.10097
2016-10-08,0.0,12.215147
2016-10-09,0.0,31.2032
2016-10-10,0.0,53.256115
2016-10-11,19.47552167859222,50.614983
2016-10-12,14.126607431144848,32.06477
2016-10-13,3.0173334764698865,21.83549
2016-10-14,0.41145470505306037,16.745556
2016-10-15,0.13715131153788462,15.696138
2016-10-16,0.13715131153788462,14.144754
2016-10-17,0.13715131153788462,15.041328
2016-10-18,0.13715131153788462,11.747152
2016-10-19,0.13715131153788462,10.584801
2016-10-20,0.13715131153788462,8.716429
2016-10-21,0.13715131153788462,9.623522
2016-10-22,0.13715131153788462,11.675138
2016-10-23,0.13715131153788462,14.336857
2016-10-24,0.13715131153788462,12.640806
2016-10-25,0.13715131153788462,19.865555
2016-10-26,0.13715131153788462,19.914305
2016-10-27,0.13715131153788462,17.756933
2016-10-28,0.13715131153788462,17.104473
2016-10-29,0.13715131153788462,15.420263
2016-10-30,0.13715131153788462,14.305197
2016-10-31,0.13715131153788462,15.266121
2016-11-01,0.13715131153788462,14.053125
2016-11-02,0.13715131153788462,10.503307
2016-11-03,0.13715131153788462,13.229763
2016-11-04,26.60740220559269,54.017838
2016-11-05,73.7875396638383,149.86656
2016-11-06,403.225572430027,498.42163
2016-11-07,245.50127909887996,552.845
2016-11-08,233.15764565168223,497.8605
2016-11-09,55.272077936450685,234.729
2016-11-10,31.54485558447177,104.840485
2016-11-11,16.321034579266236,80.879715
2016-11-12,8.640547265235412,48.301044
2016-11-13,3.0173334764698865,34.361454
2016-11-14,0.9600599512045989,24.127394
2016-11-15,0.41145470505306037,18.885635
2016-11-16,0.27430339351517574,16.93029
2016-11-17,0.13715131153788462,14.997208
2016-11-18,0.13715131153788462,7.827297
2016-11-19,0.13715131153788462,11.289021
2016-11-20,0.13715131153788462,12.573851
2016-11-21,0.13715131153788462,7.485939
2016-11-22,0.13715131153788462,31.702494
2016-11-23,0.13715131153788462,35.341736
2016-11-24,0.13715131153788462,27.080162
2016-11-25,0.13715131153788462,18.76771
2016-11-26,0.13715131153788462,15.0047035
2016-11-27,2.605880312295639,12.203758
2016-11-28,4.52600021470483,12.074921
2016-11-29,1.5086667382349432,15.455261
2016-11-30,0.548606016590945,7.453583
2016-12-01,0.27430339351517574,5.8930817
2016-12-02,0.13715131153788462,8.053972
2016-12-03,0.13715131153788462,9.732464
2016-12-04,0.13715131153788462,6.8631325
2016-12-05,0.13715131153788462,10.267054
2016-12-06,0.13715131153788462,12.590109
2016-12-07,0.13715131153788462,11.119183
2016-12-08,0.13715131153788462,8.246592
2016-12-09,0.13715131153788462,11.06748
2016-12-10,0.0,11.929901
2016-12-11,0.0,15.002838
2016-12-12,0.0,13.154762
2016-12-13,0.0,15.063801
2016-12-14,0.0,16.565886
2016-12-15,0.0,15.017031
2016-12-16,0.0,0.0
2016-12-17,0.0,25.469177
2016-12-18,0.0,33.521416
2016-12-19,0.0,30.048569
2016-12-20,0.0,18.850155
2016-12-21,0.0,15.605913
2016-12-22,0.0,0.0
2016-12-23,0.0,63.80793
2016-12-24,0.0,309.75815
2016-12-25,0.0,267.4044
2016-12-26,0.0,124.898544
2016-12-27,0.27430339351517574,91.50946
2016-12-28,0.13715131153788462,63.27863
2016-12-29,0.13715131153788462,40.97792
2016-12-30,0.27430339351517574,26.444546
2017-01-01,0.13715131153788462,23.564844
2017-01-02,0.13715131153788462,26.420677
2017-01-03,0.13715131153788462,26.917805
2017-01-04,0.13715131153788462,22.645227
2017-01-05,0.0,19.608946
2017-01-06,0.0,20.74855
2017-01-07,0.0,19.134678
2017-01-08,0.0,19.115597
2017-01-09,0.0,18.98551
2017-01-10,0.0,23.400948
2017-01-11,0.0,22.987463
2017-01-12,0.0,18.619772
2017-01-13,0.0,18.340878
2017-01-14,0.0,5.0581017
2017-01-15,3.8402398048183812,32.979324
2017-01-16,34.56218906094166,0.0
2017-01-17,34.150735896767415,162.59921
2017-01-18,21.121342039683267,248.39801
2017-01-19,34.425043142479616,153.82152
2017-01-20,35.11079584797201,177.38794
2017-01-21,32.916376404244666,139.88391
2017-01-22,30.85910287897937,93.89634
2017-01-23,26.333094959880498,103.94359
2017-01-24,19.201214432880025,75.30412
2017-01-25,13.440854725652446,54.29576
2017-01-26,4.388846591848733,36.761642
2017-01-27,2.8801798536137895,20.267208
2017-01-28,3.703093886356335,14.628628
2017-01-29,0.685758098568229,14.5812435
2017-01-30,0.685758098568229,15.308136
2017-01-31,0.548606016590945,16.629213
2017-02-01,0.8229063283484948,17.850073
2017-02-02,0.41145470505306037,17.08407
2017-02-03,0.27430339351517574,17.69179
2017-02-04,0.27430339351517574,15.862936
2017-02-05,0.548606016590945,16.688559
2017-02-06,0.548606016590945,17.432081
2017-02-07,0.27430339351517574,19.462332
2017-02-08,0.27430339351517574,20.253937
2017-02-09,0.13715131153788462,18.773542
2017-02-10,0.13715131153788462,18.880962
2017-02-11,0.13715131153788462,18.481829
2017-02-12,0.13715131153788462,0.0
2017-02-13,0.13715131153788462,16.847807
2017-02-14,0.13715131153788462,29.771221
2017-02-15,0.13715131153788462,58.551544
2017-02-16,0.13715131153788462,34.690674
2017-02-17,0.13715131153788462,26.286093
2017-02-18,0.8229063283484948,22.236311
2017-02-19,0.9600599512045989,24.14758
2017-02-20,0.685758098568229,26.109116
2017-02-21,3.2916407221820876,24.31136
2017-02-22,4.52600021470483,22.4494
2017-02-23,1.0972135740606959,17.923082
2017-02-24,0.13715131153788462,14.262346
2017-02-25,0.0,13.073746
2017-02-26,0.0,16.21524
2017-02-27,0.0,14.447596
2017-02-28,0.0,20.485924
2017-03-01,0.0,26.129364
2017-03-02,0.0,25.642311
2017-03-03,0.0,20.438517
2017-03-04,0.0,19.897165
